TITLE,POEM,POET,METER,URL,,,
দরিদ্রা,"দরিদ্রা বলিয়া তোরে বেশি ভালোবাসি
হে ধরিত্রী, স্নেহ তোর বেশি ভালো লাগে,
বেদনাকাতর মুখে সকরুণ হাসি,
দেখে মোর মর্ম-মাঝে বড়ো ব্যথা জাগে।
আপনার বক্ষ হতে রস-রক্ত নিয়ে
প্রাণটুকু দিয়েছিস সন্তানের দেহে,
অহর্নিশি মুখে তার আছিস তাকিয়ে,
অমৃত নারিস দিতে প্রাণপণ স্নেহে।
কত যুগ হতে তুই বর্ণগন্ধগীতে
সৃজন করিতেছিস আনন্দ-আবাস,
আজো শেষ নাহি হল দিবসে নিশীথে--
স্বর্গ নাই, রচেছিস স্বর্গের আভাস।
তাই তোর মুখখানি বিষাদ-কোমল,
সকল সৌন্দর্যে তোর ভরা অশ্রুজল।",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://banglarkobita.com/poem/famous/1088,,,
আত্মসমর্পণ ,"তােমার আনন্দগানে আমি দিব সুর
যাহা জানি দুয়েকটি প্রীতি-সুমধুর
অন্তরের গাথা; দুঃখের ক্রন্দনে
বাজিবে আমার কন্ঠ বিষাদ-বিধুর
তােমার কণ্ঠের সনে; কুসুমে চন্দনে
তােমারে পূজিব আমি; পরাব সিন্দুর
তােমার সীমন্তে ভালে; বিচিত্র বন্ধনে
তােমারে বাঁধিব আমি; প্রমােদ-সিন্ধুর
তরঙ্গেতে দিব দোলা নব ছন্দে তানে!
মানব-আত্মার গর্ব্ব আর নাহি মাের,
চেয়ে তাের স্নিগ্ধশ্যাম মাতৃমুখ পানে,
ভাল বাসিয়াছি আমি ধুলি মাটি তাের!
জন্মেছি যে মর্ত্ত্য-কোলে ঘৃণা করি তারে
ছুটিব না স্বর্গ আর মুক্তি খুঁজিবারে!",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://bn.wikisource.org/wiki/%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0_%E0%A6%A4%E0%A6%B0%E0%A7%80/%E0%A6%86%E0%A6%A4%E0%A7%8D%E0%A6%AE%E0%A6%B8%E0%A6%AE%E0%A6%B0%E0%A7%8D%E0%A6%AA%E0%A6%A3,,,
অচল স্মৃতি ,"আমার হৃদয়-ভূমি-মাঝখানে
জাগিয়া রয়েছে নিতি
অচল ধবল শৈল সমান
একটি অচল স্মৃতি।
প্রতিদিন ঘিরি ঘিরি
সে নীরব হিমগিরি
আমার দিবস আমার রজনী
আসিছে যেতেছে ফিরি।


যেথানে চরণ রেখেছে, সে মোর
মর্ম্ম গভীরতম,
উন্নত শির বয়েছে তুলিয়া
সকল উচ্চে মম।
মোর কল্পনা শত
রঙীন্‌ মেঘের মত
তাহারে ঘেরিয়া হাসিছে কাঁদিছে
সোহাগে হতেছে নত।

আমার শ্যামল তরুলতাগুলি
ফুল পল্লব ভারে
সরস কোমল বাহু-বেষ্টনে
বাঁধিতে চাহিছে তারে,
শিখর গগন-লীন
দুর্গম জনহীন,
বাসনা-বিহগ একেলা সেথায়
ধাইতেছে নিশিদিন।


চারিদিকে তার কত আসা-যাওয়া
কত গীত কত কথা,
মাঝখানে শুধু ধ্যানের মতন
নিশ্চল নীরবতা।
দূরে গেলে তবু, একা
সে শিখর যায় দেখা,
চিত্ত-গগনে আঁকা থাকে তার
নিত্য-নীহার-রেখা!",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://bn.wikisource.org/wiki/%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0_%E0%A6%A4%E0%A6%B0%E0%A7%80/%E0%A6%85%E0%A6%9A%E0%A6%B2_%E0%A6%B8%E0%A7%8D%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A6%BF,,,
কণ্টকের কথা ,"একদা পুলকে প্রভাত-আলোকে
      গাহিছে পাখি,
কহে কণ্টক বাঁকা কটাক্ষে
      কুসুমে ডাকি--
তুমি তো কোমল বিলাসী কমল,
      দুলায় বায়ু,
দিনের কিরণ ফুরাতে ফুরাতে
      ফুরায় আয়ু ;
এ পাশে মধুপ মধুমদে ভোর,
ও পাশে পবন পরিমল-চোর,
বনের দুলাল, হাসি পায় তোর
      আদর দেখে।
আহা মরি মরি  কী রঙিন বেশ,
সোহাগহাসির নাহি আর শেষ,
সারাবেলা ধরি রসালসাবেশ
      গন্ধ মেখে।
হায় কদিনের আদর-সোহাগ,
    সাধের খেলা
ললিত মাধুরী, রঙিন বিলাস,
      মধুপ-মেলা।
ওগো নহি আমি তোদের মতন
      সুখের প্রাণী--
হাব ভাব হাস, নানারঙা বাস
      নাহিকো জানি।
রয়েছি নগ্ন, জগতে লগ্ন
      আপন বলে;
কে পারে তাড়াতে, আমারে মাড়াতে
      ধরণীতলে।
তোদের মতন নহি নিমেষের,
আমি এ নিখিলে চিরদিবসের,
বৃষ্টি-বাদল ঝড়-বাতাসের
      না রাখি ভয়।
সতত একাকী, সঙ্গীবিহীন--
কারো কাছে কোনো নাহি প্রেম-ঋণ,
চাটুগান শুনি সারা নিশিদিন
      করি না ক্ষয়।
আসিবে তো শীত, বিহঙ্গগীত
      যাইবে থামি,
ফুলপল্লব ঝরে যাবে সব--
      রহিব আমি।
চেয়ে দেখো মোরে, কোনো বাহুল্য
      কোথাও নাই,
স্পষ্ট সকলি     আমার মূল্য
      জানে সবাই।
এ ভীরু জগতে যার কাঠিন্য
      জগৎ তারি।
নখের আঁচড়ে আপন চিহ্ন
      রাখিতে পারি।
কেহ জগতেরে চামর ঢুলায়,
চরণে কোমল হস্ত বুলায়,
নতমস্তকে লুটায়ে ধুলায়
      প্রণাম করে।
ভুলাইতে মন কত করে ছল--
কাহারো বর্ণ, কারো পরিমল,
বিফল বাসরসজ্জা, কেবল
      দুদিন-তরে।
কিছুই করি না, নীরবে দাঁড়ায়ে
      তুলিয়া শির
বিঁধিয়া রয়েছি অন্তর-মাঝে
      এ পৃথিবীর।
আমারে তোমরা চাহ না চাহিতে
      চোখের কোণে,
গরবে ফাটিয়া উঠেছ ফুটিয়া
      আপন মনে।
আছে তব মধু, থাক্‌ সে তোমার,
      আমার নাহি।
আছে তব রূপ--    মোর পানে কেহ
      দেখে না চাহি।
কারো আছে শাখা, কারো আছে দল,
কারো আছে ফুল, কারো আছে ফল,
আমারি হস্ত রিক্ত কেবল
     দিবসযামী।
ওহে তরু, তুমি বৃহৎ প্রবীণ,
আমাদের প্রতি অতি উদাসীন--
আমি বড়ো নহি, আমি ছায়াহীন,
    ক্ষুদ্র আমি।
হই না ক্ষুদ্র, তবুও রুদ্র
    ভীষণ ভয়--
আমার দৈন্য সে মোর সৈন্য,
    তাহারি জয়।
 ", রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://banglarkobita.com/poem/famous/1091/%E0%A6%95%E0%A6%A3%E0%A7%8D%E0%A6%9F%E0%A6%95%E0%A7%87%E0%A6%B0%20%E0%A6%95%E0%A6%A5%E0%A6%BE-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE%E0%A6%A5%20%E0%A6%A0%E0%A6%BE%E0%A6%95%E0%A7%81%E0%A6%B0,,,
নিরুদ্দেশ যাত্রা ,"আর কত দূরে নিয়ে যাবে মোরে
হে সুন্দরি?
বল কোন্‌ পার ভিড়িবে তোমার
সোনার তরী?
যখনি শুধাই, ওগো বিদেশিনী,
তুমি হাস শুধু মধুরহাসিনী,
বুঝিতে না পারি, কি জানি কি আছে
তোমার মনে?
নীরবে দেখাও অঙ্গুলি তুলি’
অকুল সিন্ধু উঠিছে আকুলি’,
দূরে পশ্চিমে ডুবিছে তপন
গগন-কোণে।
কি আছে হোথায়—চলেছি কিসের
অন্বেষণে?

বল দেখি মোরে শুধাই তোমায়,
অপরিচিতা,—
ওই যেথা জ্বলে সন্ধ্যার কূলে
দিনের চিতা,
ঝলিতেছে জল তরল অনল,
গলিয়া পড়িছে অম্বরতল,

দিক্‌বধু যেন ছলছল আঁখি
অশ্রুজলে,
হোথায় কি আছে আলয় তোমার
উর্ম্মিমুখর সাগরের পার,
মেঘচুম্বিত অন্তগিরির
চরণতলে?
তুমি হাস শুধু মুখপানে চেয়ে
কথা না বলে’!

হুহু ক’রে বায়ু ফেলিছে সতত
দীর্ঘশ্বাস!
অন্ধ আবেগে করে গর্জ্জন
জলোচ্ছ্বাস!
সংশয়ময় ঘননীল নীর
কোন দিকে চেয়ে নাহি হেরি তীর,
অসীম রোদন জগৎ প্লাবিয়া
দুলিছে যেন;
তারি পরে ভাসে তরুণী হিরণ,
তারি পরে পড়ে সন্ধ্যা-কিরণ,
তারি মাঝে বসি এ নীরব হাসি
হাসিছ কেন?
আমি ত বুঝি না কি লাগি তোমার
বিলাস হেন?

যখন প্রথম ডেকেছিলে তুমি
“কে যাবে সাথে?
চাহি বারেক তোমার নয়নে
নবীন প্রাতে।
দেখালে সমুখে প্রসারি কর
পশ্চিম পানে অসীম সাগর,
চঞ্চল আনো আশার মতন
কাঁপিছে জলে।
তরীতে উঠিয়া শুধানু তখন
আছে কি হোথায় নবীন জীবন,
আশার স্বপন ফলে কি হোথায়
সোনার ফলে?
মুখপানে চেয়ে হাসিলে কেবল
কথা না বলে’!

তারপরে কভু উঠিয়াছে মেঘ,
কখনো রবি,
কখনো ক্ষুব্ধ সাগর, কখনো
শান্ত ছবি।
বেলা বহে’ যায়, পালে লাগে বায়,
সোনার তরণী কোথা চলে’ যায়,
পশ্চিমে হেরি নামিছে তপন
অস্তাচলে।

এখন বারে শুধাই তােমায়
স্নিগ্ধ মরণ আছে কি হােথায়,
আছে কি শান্তি, আছে কি সুপ্তি
তিমির তলে?
হাসিতেছ তুমি তুলিয়া নয়ন
কথা না বলে!

আঁধার রজনী আসিবে এখনি
মেলিয়া পাখা,
সন্ধ্যা-আকাশে স্বর্ণ-শালােক
পড়িবে ঢাকা।
শুধু ভাসে তব দেহ-সৌরভ,
শুধু কানে আসে জল-কলরব,
গায়ে উড়ে পড়ে বায়ুভরে, তব
কেশের রাশি।
বিকল হৃদয় বিবশ শরীর
ডাকিয়া তােমারে কহিব অধীর-
“কোথা আছ ওগাে করহ পরশ
নিকটে আসি”
কহিবে না কথা, দেখিতে পাব না
নীরব হাসি।", রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://bn.wikisource.org/wiki/%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0_%E0%A6%A4%E0%A6%B0%E0%A7%80/%E0%A6%A8%E0%A6%BF%E0%A6%B0%E0%A7%81%E0%A6%A6%E0%A7%8D%E0%A6%A6%E0%A7%87%E0%A6%B6_%E0%A6%AF%E0%A6%BE%E0%A6%A4%E0%A7%8D%E0%A6%B0%E0%A6%BE,,,
বিম্ববতী ,"সযত্নে সাজিল রাণী, বাঁধিল কবরী,
নবঘনস্নিগ্ধবর্ণ নব নীলাম্বরী
পরিল অনেক সাধে। তার পরে ধীরে
গুপ্ত আবরণ খুলি’ আনিল বাহিরে
মায়াময় কনক দর্পণ। মন্ত্র পড়ি’
শুধাইল তারে—কহ মােরে সত্য করি’
সর্ব্বশ্রেষ্ঠ রূপসী কে ধরায় বিরাজে।
ফুটিয়া উঠিল ধীরে মুকুরের মাঝে
মধুমাখা হাসি-আঁকা একখানি মুখ,
দেখিয়া বিদারি’ গেল মহিষীর বুক-
রাজকন্যা বিম্ববতী সতীনের মেয়ে
ধরাতলে রূপসী সে সবাকার চেয়ে!

তার পর দিন রাণী প্রবালের হার
পরিল গলায়। খুলি’ দিল কেশভার
আজানুচুম্বিত। গােলাপী অঞ্চলখানি,
লজ্জার আভাসসম, বক্ষে দিল টানি’।
সুবর্ণ মুকুর রাখি কোলের উপরে
শুধাইল মন্ত্র পড়ি’—কহ সত্য করে’

ধরামাঝে সব চেয়ে কে আজি রূপসী!
দর্পণে উঠিল ফুটে সেই মুখশশী।
কাঁপিয়া কহিল রাণী, অগ্নিসম জ্বালা—
পরালেম তারে আমি বিষফুলমালা,
তবু মরিল না জ্বলে’ সতীনের মেয়ে
ধরাতলে রূপসী সে সকলের চেয়ে!

তার পরদিনে,—আবার রুধিল বার
শয়নমন্দিরে। পরিল মুক্তার হার,
ভালে সিন্দুরের টিপ, নয়নে কাজল,
রক্তাম্বর পট্টবাস, সোনার আঁচল।
শুধাইল দর্পণেরে—কহ সত্য করি’
ধরাতলে সব চেয়ে কে আজি সুন্দরী।
উজ্জ্বল কনক পটে ফুটিয়া উঠিল
সেই হাসিমাখা মুখ। হিংসায় লুটিল
রাণী শয্যার উপরে। কহিল কাঁদিয়া—
বনে পাঠালেম তারে কঠিন বাঁধিয়া,
এখনো সে মরিল না সতীনের মেয়ে,
ধরাতলে রূপসী সে সবাকার চেয়ে!

তার পরদিনে,—আবার সাজিল সুখে
নব অলঙ্কারে; বিরচিল হাসিমুখে
কবরী নূতন ছাঁদে বাঁকাইয়া গ্রীবা।
পরিল যতন করি’ নবরৌদ্রবিভা

নব পীতবাস। দর্পণ সম্মুখে ধরে’
শুধাইল মন্ত্র পড়ি’—সত্য কহ মােরে
ধরামাঝে সব চেয়ে কে আজি রূপসী।
সেই হাসি সেই মুখ উঠিল বিকশি’
মােহন মুকুরে। রাণী কহিল জ্বলিয়া—
বিষফল খাওয়ালেম তাহারে ছলিয়া,
তবুও সে মরিল না সতীনের মেয়ে,
ধরাতলে রূপসী সে সকলের চেয়ে!

তার পর দিনে রাণী কনক রতনে
খচিত করিল তনু অনেক যতনে।
দর্পণেরে শুধাইল বহু দর্পভরে—
সর্ব্বশ্রেষ্ঠ রূপ কার বল্ সত্য করে’।
দুইটি সুন্দর মুখ দেখা দিল হাসি’
রাজপুত্র রাজকন্যা দোঁহে পাশাপাশি
বিবাহের বেশে।—অঙ্গে অঙ্গে শিরা যত
রাণীরে দংশিল যেন বৃশ্চিকের মত।
চীৎকারি' কহিল রাণী কর হানি’ বুকে,
মরিতে দেখেছি তারে আপন সম্মুখে
কার প্রেমে বাঁচিল সে সতীনের মেয়ে
ধরাতলে রূপসী সে সকলের চেয়ে!
ঘষিতে লাগিল রাণী কনক মুকুর
বালু দিয়ে—প্রতিবিম্ব নাহি হল দূর।

মসী লেপি দিল তবু ছবি ঢাকিল না।
অগ্নি দিল, তবুও ত গলিল না সোনা।
আছাড়ি’ ফেলিল ভূমে প্রাণপণ বলে
ভাঙ্গিল না সে মায়া-দর্পণ। ভূমিতলে
চকিতে পড়িল রাণী, টুটি’ গেল প্রাণ;—
সর্ব্বাঙ্গে হীরকমণি অগ্নির সমান
লাগিল জ্বলিতে; ভূমে পড়ি’ তারি পাশে
কনক দর্পণে দুটি হাসিমুখ হাসে।
বিম্ববতী, মহিষীর সতীনের মেয়ে
ধরাতলে রূপসী সে সকলের চেয়ে।",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://bn.wikisource.org/wiki/%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0_%E0%A6%A4%E0%A6%B0%E0%A7%80/%E0%A6%AC%E0%A6%BF%E0%A6%AE%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%A4%E0%A7%80,,,
শৈশবসন্ধ্যা ,"ধীরে ধীরে বিস্তারিছে ঘেরি চারিধার
শ্রান্তি, আর শান্তি, আর সন্ধ্যা-অন্ধকার,
মায়ের অঞ্চলসম। দাঁড়ায়ে একাকী
মেলিয়া পশ্চিম-পানে অনিমেষ আঁখি
স্তব্ধ চেয়ে আছি। আপনারে মগ্ন করি
অতলের তলে, ধীরে লইতেছি ভরি
জীবনের মাঝে— আজিকার এই ছবি,
জনশূন্য নদীতীর, অস্তমান রবি,
ম্লান মূর্ছাতুর আলো— রোদন-অরুণ,
ক্লান্ত নয়নের যেন দৃষ্টি সকরুণ
স্থির বাক্যহীন— এই গভীর বিষাদ,
জলে স্থলে চরাচরে শ্রান্তি অবসাদ।

সহসা উঠিল গাহি কোন্‌খান হতে
বন-অন্ধকারঘন কোন্‌ গ্রামপথে
যেতে যেতে গৃহমুখে বালক-পথিক।
উচ্ছ্বসিত কণ্ঠস্বর নিশ্চিন্ত নির্ভীক
কাঁপিছে সপ্তম সুরে, তীব্র উচ্চতান
সন্ধ্যারে কাটিয়া যেন করিবে দুখান।
 
দেখিতে না পাই তারে। ওই যে সম্মুখে
প্রান্তরের সর্বপ্রান্তে, দক্ষিণের মুখে,
আখের খেতের পারে, কদলী সুপারি
নিবিড় বাঁশের বন, মাঝখানে তারি
বিশ্রাম করিছে গ্রাম, হোথা আঁখি ধায়।
হোথা কোন্‌ গৃহপানে গেয়ে চলে যায়
কোন্‌ রাখালের ছেলে, নাহি ভাবে কিছু,
নাহি চায় শূন্যপানে, নাহি আগুপিছু।

দেখে শুনে মনে পড়ে সেই সন্ধ্যাবেলা
শৈশবের। কত গল্প, কত বাল্যখেলা,
এক বিছানায় শুয়ে মোরা সঙ্গী তিন;


 
সে কি আজিকার কথা, হল কত দিন।
এখনো কি বৃদ্ধ হয়ে যায় নি সংসার।

ভোলে নাই খেলাধুলা, নয়নে তাহার
আসে নাই নিদ্রাবেশ শান্ত সুশীতল,
বাল্যের খেলানাগুলি করিয়া বদল
পায় নি কঠিন জ্ঞান? দাঁড়ায়ে হেথায়
নির্জন মাঠের মাঝে, নিস্তব্ধ সন্ধ্যায়,
শুনিয়া কাহার গান পড়ি গেল মনে—

কত শত নদীতীরে, কত আম্রবনে,
কাংস্যঘণ্টা-মুখরিত মন্দিরের ধারে,
কত শস্যক্ষেত্রপ্রান্তে, পুকুরের পাড়ে
গৃহে গৃহে জাগিতেছে নব হাসিমুখ,
নবীন হৃদয়ভরা নব নব সুখ,
কত অসম্ভব কথা, অপূর্ব কল্পনা,
কত অমূলক আশা, অশেষ কামনা,
অনন্ত বিশ্বাস। দাঁড়াইয়া অন্ধকারে
দেখিনু নক্ষত্রালোকে, অসীম সংসারে
রয়েছে পৃথিবী ভরি বালিকা বালক,
সন্ধ্যাশয্যা, মার মুখ, দীপের আলোক।
",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://amarrabindranath.com/bn/%E0%A6%B6%E0%A7%88%E0%A6%B6%E0%A6%AC%E0%A6%B8%E0%A6%A8%E0%A7%8D%E0%A6%A7%E0%A7%8D%E0%A6%AF%E0%A6%BE-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8%E0%A6%BE/,,,
সুপ্তোথিতা ,"ঘুমের দেশে ভারঙিল ঘুম, উঠিল কলস্বর।
গাছের শাখে জাগিল পাখি, কুসুমে মধুকর।
অশ্বশালে জাগিল ঘােড়া, হস্তীশালে হাতি। মল্লশালে মল্ল জাগি ফুলায় পুন ছাতি।
জাগিল পথে প্রহরীদল, দুয়ারে জাগে দ্বারী,
আকাশে চেয়ে নিরখে বেলা জাগিয়া নরনারী।
উঠিল জাগি রাজাধিরাজ, জাগিল রানীমাতা।
কচালি আঁখি কুমার-সাথে জাগিল রাজভ্রাতা।
নিভৃত ঘরে ধূপের বাস, রতন-দীপ জ্বালা,
জাগিয়া উঠি শয্যাতলে শুধালাে রাজবালা-
                                    ‘কে পরালে মালা!’


খসিয়া-পড়া আঁচলখানি বক্ষে তুলি নিল।
আপন-পানে নেহারি চেয়ে শরমে শিহরিল।
ত্ৰন্ত হয়ে চকিত চোখে চাহিল চারি দিকে
বিজন গৃহ, রতন-দীপ জ্বলিছে অনিমিখে।
গলার মালা খুলিয়া লয়ে ধরিয়া দুটি করে
সােনার সুতে যতনে গাঁথা লিখনখানি পড়ে।
পড়িল নাম, পড়িল ধাম, পড়িল লিপি তার,
কোলের ‘পরে বিছায়ে দিয়ে পড়িল শতবার।
শয়নশেষে রহিল বসে, ভাবিল রাজবালা
‘আপন ঘরে ঘুমায়ে ছিনু নিতান্ত নিরালা,
                                 ‘কে পরালে মালা!’


নূতন-জাগা কুঞ্জবনে কুহরি উঠে পিক,
বসন্তের চুম্বনেতে বিবশ দশ দিক।
বাতাস ঘরে প্রবেশ করে ব্যাকুল উচ্ছাসে,
নবীনফুলমঞ্জরীর গন্ধ লয়ে আসে।
জাগিয়া উঠি বৈতালিক গাহিছে জয়গান,
প্রাসাদদ্বারে ললিত স্বরে বাঁশিতে উঠে তান।
শীতলছায়া নদীর পথে কলসে লয়ে বারি
কাঁকন বাজে, নূপুর বাজে, চলিছে পুরনারী।
কাননপথে মর্মরিয়া কাপিছে গাছপালা,
আধেক মুদি নয়ন দুটি ভাবিছে রাজবালা
                               ‘  কে পরালে মালা!’

বারেক মালা গলায় পরে, বারেক লহে খুলি
দুইটি করে চাপিয়া ধরে বুকের কাছে তুলি।
শয়ন-পরে মেলায়ে দিয়ে তৃষিত চেয়ে রয়,
এমনি করে পাইবে যেন অধিক পরিচয়।
জগতে আজ কত-না ধ্বনি উঠিছে কত ছলে
একটি আছে গােপন কথা, সে কেহ নাহি বলে।বাতাস শুধু কানের কাছে বহিয়া যায় হুই,
কোকিল শুধু অবিশ্রাম ডাকিছে কুহু কুহু।
নিভৃত ঘরে পরান মন একান্ত উতালা,
শয়নশেষে নীরবে বসে ভাবিছে রাজবালা-
                            ‘কে পরালে মালা!’

কেমন বীর-মুরতি তার মাধুরী দিয়ে মিশা
দীপ্তিভরা নয়ন-মাঝে তৃপ্তিহীন তৃষা।
স্বপ্নে তারে দেখেছে যেন এমনি মনে লয়
ভুলিয়া গেছে, রয়েছে শুধু অসীম বিস্ময়।
পার্শ্বে যেন বসিয়াছিল, ধরিয়াছিল কর,
এখনাে তার পরশে যেন সরস কলেবর।
চমকি মুখ দু হাতে ঢাকে, শরমে টুটে মন,
লজ্জাহীন প্রদীপ কেন নিভে নি সেইক্ষণ!
কণ্ঠ হতে ফেলিল হার যেন বিজুলিজ্বালা,
শয়ন-‘পরে লুটায়ে পড়ে ভাবিল রাজবালা
                              ‘কে পরালে মালা!’

এমনি ধীরে একটি করে কাটিছে দিন রাতি।
বসন্ত সে বিদায় নিল লইয়া যুথীজাতি।
সঘন মেঘে বরষা আসে, বরষে ঝরঝর,
কাননে ফুটে নবমালতী কদম্বকেশর।
স্বচ্ছহাসি শরৎ আসে পূর্ণিমামালিকা,
সকল বন আকুল করে শুভ্র শেফালিকা।
আসিল শীত সঙ্গে লয়ে দীর্ঘ দুখনিশা,
শিশির-ঝরা কুন্দফুলে হাসিয়া কাদে দিশা।
ফাগুন-মাস আবার এল বহিয়া ফুলডালা,
জানালা-পাশে একেলা বসে ভাবিছে রাজবালা
                       ‘কে পরালে মালা!’

",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://banglakobitaclub.wordpress.com/2019/09/28/%E0%A6%B8%E0%A7%81%E0%A6%AA%E0%A7%8D%E0%A6%A4%E0%A7%8B%E0%A6%A4%E0%A7%8D%E0%A6%A5%E0%A6%BF%E0%A6%A4%E0%A6%BE-%E0%A6%B0%E0%A6%AC%E0%A7%80%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0%E0%A6%A8/,,,
তোমরা ও আমরা,"তোমরা হাসিয়া বহিয়া চলিয়া যাও
কুলুকুলুকল নদীর স্রোতের মতো।
আমরা তীরেতে দাঁড়ায়ে চাহিয়া থাকি,
মরমে গুমরি মরিছে কামনা কত।
আপনা-আপনি কানাকানি কর সুখে,
কৌতুকছটা উছসিছে চোখে মুখে,
কমলচরণ পড়িছে ধরণী-মাঝে,
কনকনূপুর রিনিকি ঝিনিকি বাজে।


 
অঙ্গে অঙ্গ বাঁধিছে রঙ্গপাশে,
বাহুতে বাহুতে জড়িত ললিত লতা।
ইঙ্গিতরসে ধ্বনিয়া উঠিছে হাসি,
নয়নে নয়নে বহিছে গোপন কথা।
আঁখি নত করি একেলা গাঁথিছ ফুল,
মুকুর লইয়া যতনে বাঁধিছ চুল।
গোপন হৃদয়ে আপনি করিছ খেলা,
কী কথা ভাবিছ, কেমন কাটিছে বেলা।

চকিতে পলকে অলক উড়িয়া পড়ে,
ঈষৎ হেলিয়া আঁচল মেলিয়া যাও—
নিমেষ ফেলিতে আঁখি না মেলিতে,ত্বরা
নয়নের আড়ে না জানি কাহারে চাও।
যৌবনরাশি টুটিতে লুটিতে চায়,
বসনে শাসনে বাঁধিয়া রেখেছ তায়।
তবু শতবার শতধা হইয়া ফুটে,
চলিতে ফিরিতে ঝলকি চলকি উঠে।


 
আমরা মূর্খ কহিতে জানি নে কথা,
কী কথা বলিতে কী কথা বলিয়া ফেলি।
অসময়ে গিয়ে লয়ে আপনার মন,
পদতলে দিয়ে চেয়ে থাকি আঁখি মেলি।
তোমরা দেখিয়া চুপি চুপি কথা কও,
সখীতে সখীতে হাসিয়া অধীর হও,

",রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://amarrabindranath.com/bn/%E0%A6%A4%E0%A7%8B%E0%A6%AE%E0%A6%B0%E0%A6%BE-%E0%A6%93-%E0%A6%86%E0%A6%AE%E0%A6%B0%E0%A6%BE/,,,
সোনার বাধন ,"বন্দী হয়ে আছ তুমি সুমধুর স্নেহে,
অয়ি গৃহলক্ষ্মি, এই করুণ-ক্রন্দন
এই দুঃখ দৈন্যে ভরা মানবের গেহে;
তাই দুটি বাহু পরে সুন্দর-বন্ধন
সােনার কঙ্কণ দুটি বহিতেছ দেহে
শুভ চিহ্ন, নিখিলের নয়ন-নন্দন।
পুরুষেব দুই বাহু কিণাঙ্ক-কঠিন
সংসার সংগ্রামে, সদা বন্ধনবিহীন;
যুদ্ধ দ্বন্দ্ব যত কিছু নিদারুণ কাজে
বহ্ণিবাণ বজ্রসম সর্বত্র স্বাধীন।
তুমি বদ্ধ মেহ প্রেম করুণার মাঝে,—
শুধু শুভকর্ম্ম, শুধু সেবা নিশি দিন।
তােমার বাহুতে তাই কে দিয়াছে টানি,
দুইটি সােনার গণ্ডী, কাঁকন দু’খানি।

", রবীন্দ্রনাথ ঠাকুর,মাত্রাবৃত্ত,https://bn.wikisource.org/wiki/%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0_%E0%A6%A4%E0%A6%B0%E0%A7%80/%E0%A6%B8%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A6%B0_%E0%A6%AC%E0%A6%BE%E0%A6%81%E0%A6%A7%E0%A6%A8,,,
